============================================================
superquant 模拟交易 (ML驱动)
  启动: 2026-06-26 11:29:56
  当前资金: ¥5,000
============================================================
  📦 恢复持仓: 300650 ¥14.87×300股
  📦 恢复持仓: 002141 ¥5.35×100股
  当前资金: ¥2, 持仓: 2只
  加载ML候选池...
  ML候选: 主力200只 + 探索0只 = 200只 (from DB)
  监控池: 200只 (主力200只/探索0只)
  [13:19:00] 资金=¥2, 持仓=2
  [13:19:05] 资金=¥2, 持仓=2
  [13:19:11] 资金=¥2, 持仓=2
  [13:19:16] 资金=¥2, 持仓=2
  [13:19:21] 资金=¥2, 持仓=2
  [13:19:26] 资金=¥2, 持仓=2
  [13:19:32] 资金=¥2, 持仓=2
  [13:19:37] 资金=¥2, 持仓=2
  [13:19:42] 资金=¥2, 持仓=2
  [13:19:47] 资金=¥2, 持仓=2
  [13:19:53] 资金=¥2, 持仓=2
  [13:19:58] 资金=¥2, 持仓=2
  [13:20:03] 资金=¥2, 持仓=2
  [13:20:08] 资金=¥2, 持仓=2
  [13:20:14] 资金=¥2, 持仓=2
  [13:20:19] 资金=¥2, 持仓=2
  [13:20:25] 资金=¥2, 持仓=2
  [13:20:30] 资金=¥2, 持仓=2
  [13:20:35] 资金=¥2, 持仓=2
  [13:20:41] 资金=¥2, 持仓=2
  [13:20:46] 资金=¥2, 持仓=2
  [13:20:51] 资金=¥2, 持仓=2
  [13:20:56] 资金=¥2, 持仓=2
  [13:21:02] 资金=¥2, 持仓=2
  [13:21:07] 资金=¥2, 持仓=2
  [13:21:12] 资金=¥2, 持仓=2
  [13:21:17] 资金=¥2, 持仓=2
  [13:21:23] 资金=¥2, 持仓=2
  [13:21:28] 资金=¥2, 持仓=2
  [13:21:35] 资金=¥2, 持仓=2
  [13:21:40] 资金=¥2, 持仓=2
  [13:21:45] 资金=¥2, 持仓=2
  [13:21:51] 资金=¥2, 持仓=2
  [13:21:56] 资金=¥2, 持仓=2
  [13:22:01] 资金=¥2, 持仓=2
  [13:22:06] 资金=¥2, 持仓=2
  [13:22:12] 资金=¥2, 持仓=2
  [13:22:17] 资金=¥2, 持仓=2
  [13:22:22] 资金=¥2, 持仓=2
  [13:22:28] 资金=¥2, 持仓=2
  [13:22:33] 资金=¥2, 持仓=2
  [13:22:38] 资金=¥2, 持仓=2
  [13:22:44] 资金=¥2, 持仓=2
  [13:22:49] 资金=¥2, 持仓=2
  [13:22:55] 资金=¥2, 持仓=2
  [13:23:01] 资金=¥2, 持仓=2
  [13:23:06] 资金=¥2, 持仓=2
  [13:23:11] 资金=¥2, 持仓=2
  [13:23:17] 资金=¥2, 持仓=2
  [13:23:22] 资金=¥2, 持仓=2
  [13:23:27] 资金=¥2, 持仓=2
  [13:23:32] 资金=¥2, 持仓=2
  [13:23:38] 资金=¥2, 持仓=2
  [13:23:43] 资金=¥2, 持仓=2
  [13:23:48] 资金=¥2, 持仓=2
  [13:23:53] 资金=¥2, 持仓=2
  [13:23:59] 资金=¥2, 持仓=2
  [13:24:04] 资金=¥2, 持仓=2
  [13:24:09] 资金=¥2, 持仓=2
  [13:24:15] 资金=¥2, 持仓=2
  [13:24:20] 资金=¥2, 持仓=2
  [13:24:26] 资金=¥2, 持仓=2
  [13:24:31] 资金=¥2, 持仓=2
  [13:24:36] 资金=¥2, 持仓=2
  [13:24:41] 资金=¥2, 持仓=2
  [13:24:47] 资金=¥2, 持仓=2
  [13:24:52] 资金=¥2, 持仓=2
  [13:24:57] 资金=¥2, 持仓=2
  [13:25:02] 资金=¥2, 持仓=2
  [13:25:08] 资金=¥2, 持仓=2
  [13:25:13] 资金=¥2, 持仓=2
  [13:25:18] 资金=¥2, 持仓=2
  [13:25:23] 资金=¥2, 持仓=2
  [13:25:29] 资金=¥2, 持仓=2
  [13:25:35] 资金=¥2, 持仓=2
  [13:25:40] 资金=¥2, 持仓=2
  [13:25:45] 资金=¥2, 持仓=2
  [13:25:50] 资金=¥2, 持仓=2
  [13:25:55] 资金=¥2, 持仓=2
  [13:26:01] 资金=¥2, 持仓=2
  [13:26:06] 资金=¥2, 持仓=2
  [13:26:11] 资金=¥2, 持仓=2
  [13:26:16] 资金=¥2, 持仓=2
  [13:26:22] 资金=¥2, 持仓=2
  [13:26:27] 资金=¥2, 持仓=2
  [13:26:32] 资金=¥2, 持仓=2
  [13:26:37] 资金=¥2, 持仓=2
  [13:26:43] 资金=¥2, 持仓=2
  [13:26:48] 资金=¥2, 持仓=2
  [13:26:54] 资金=¥2, 持仓=2
  [13:26:59] 资金=¥2, 持仓=2
  [13:27:04] 资金=¥2, 持仓=2
  [13:27:10] 资金=¥2, 持仓=2
  [13:27:15] 资金=¥2, 持仓=2
  [13:27:20] 资金=¥2, 持仓=2
  [13:27:25] 资金=¥2, 持仓=2
  [13:27:31] 资金=¥2, 持仓=2
  [13:27:36] 资金=¥2, 持仓=2
  [13:27:41] 资金=¥2, 持仓=2
  [13:27:46] 资金=¥2, 持仓=2
  [13:27:51] 资金=¥2, 持仓=2
  [13:27:57] 资金=¥2, 持仓=2
  [13:28:02] 资金=¥2, 持仓=2
  [13:28:07] 资金=¥2, 持仓=2
  [13:28:13] 资金=¥2, 持仓=2
  [13:28:18] 资金=¥2, 持仓=2
  [13:28:25] 资金=¥2, 持仓=2
  [13:28:30] 资金=¥2, 持仓=2
  [13:28:35] 资金=¥2, 持仓=2
  [13:28:41] 资金=¥2, 持仓=2
  [13:28:46] 资金=¥2, 持仓=2
  [13:28:51] 资金=¥2, 持仓=2
  [13:28:56] 资金=¥2, 持仓=2
  [13:29:02] 资金=¥2, 持仓=2
  [13:29:07] 资金=¥2, 持仓=2
  [13:29:12] 资金=¥2, 持仓=2
  [13:29:17] 资金=¥2, 持仓=2
  [13:29:23] 资金=¥2, 持仓=2
  [13:29:28] 资金=¥2, 持仓=2
  [13:29:34] 资金=¥2, 持仓=2
  [13:29:39] 资金=¥2, 持仓=2
